                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.81242,                0.53869,                 1.8527,                0.83192,                0.95155,                0.95512,                 0.6574,                 1.9369,                 1.1413,                 2.4517,                 0.0067,                 0.0067,                 0.0067
                    102,                0.82355,                0.54505,                 1.8519,                0.83304,                0.96316,                0.95725,                0.65823,                 1.9409,                 1.1275,                 2.4566,               0.006667,               0.006667,               0.006667
                    103,                0.82034,                0.53809,                 1.8495,                0.85589,                 0.9462,                0.95956,                 0.6596,                 1.9453,                 1.1301,                 2.4631,               0.006634,               0.006634,               0.006634
                    104,                0.81196,                0.52816,                 1.8475,                0.86286,                0.93434,                0.95982,                0.65969,                 1.9486,                 1.1245,                 2.4667,               0.006601,               0.006601,               0.006601
                    105,                0.81743,                 0.5332,                 1.8472,                0.86229,                0.95113,                0.96387,                 0.6626,                 1.9516,                 1.1207,                 2.4688,               0.006568,               0.006568,               0.006568
                    106,                0.81591,                0.52945,                 1.8495,                0.86866,                0.95491,                0.96608,                0.66402,                 1.9562,                 1.1191,                 2.4708,               0.006535,               0.006535,               0.006535
                    107,                0.81881,                0.53082,                 1.8545,                0.86469,                0.95554,                0.96393,                 0.6635,                 1.9597,                 1.1205,                 2.4742,               0.006502,               0.006502,               0.006502
                    108,                0.80784,                0.53163,                 1.8521,                0.86753,                0.96369,                0.96738,                0.66596,                 1.9583,                 1.1249,                 2.4714,               0.006469,               0.006469,               0.006469
                    109,                0.80808,                0.52627,                 1.8567,                0.86716,                0.96056,                  0.967,                0.66374,                 1.9614,                 1.1312,                  2.475,               0.006436,               0.006436,               0.006436
                    110,                 0.8113,                0.53207,                  1.853,                0.86847,                 0.9644,                 0.9672,                0.66628,                 1.9619,                 1.1321,                 2.4786,               0.006403,               0.006403,               0.006403
                    111,                0.81012,                0.53124,                 1.8493,                 0.8709,                0.96203,                0.97085,                0.66982,                 1.9631,                 1.1337,                 2.4805,                0.00637,                0.00637,                0.00637
                    112,                0.81017,                0.52951,                 1.8603,                0.86816,                0.95807,                0.96933,                0.66968,                 1.9637,                 1.1311,                 2.4811,               0.006337,               0.006337,               0.006337
